Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
367000,1.4795057,1.0,19.333333333333332,-0.33150217,-0.024219893,-0.9076500087976456,-0.9076500087976456,0.0,1.0
368000,1.4795057,1.0,20.369565217391305,-0.35263547,-0.024341311,-0.8166723479615882,-0.8166723479615882,0.0,1.0
369000,1.4795057,1.0,23.390243902439025,-0.32514098,-0.023567623,-0.7653213143348694,-0.7653213143348694,0.0,1.0
370000,1.4795057,1.0,22.166666666666668,-0.34271273,-0.024359096,-0.7676958853290194,-0.7676958853290194,0.0,1.0
371000,1.4795057,1.0,22.714285714285715,-0.33819467,-0.022426542,-0.7622725769530895,-0.7622725769530895,0.0,1.0
372000,1.4795058,1.0,27.0,-0.3378102,-0.028370364,-0.6099679566718437,-0.6099679566718437,0.0,1.0
373000,1.4795057,1.0,22.365853658536587,-0.34534222,-0.025032192,-0.7093278271395985,-0.7093278271395985,0.0,1.0
374000,1.4795057,1.0,23.682926829268293,-0.34948483,-0.025246706,-0.7428873509168625,-0.7428873509168625,0.0,1.0
375000,1.4795057,1.0,27.970588235294116,-0.32226604,-0.025350492,-0.6051665016583034,-0.6051665016583034,0.0,1.0
376000,1.4795057,1.0,24.512820512820515,-0.32621926,-0.020708436,-0.7353627536541376,-0.7353627536541376,0.0,1.0
377000,1.4795057,1.0,23.975,-0.32279244,-0.021912169,-0.6788893595337868,-0.6788893595337868,0.0,1.0
378000,1.4795057,1.0,22.069767441860463,-0.3479124,-0.02538819,-0.8049048199210056,-0.8049048199210056,0.0,1.0
379000,1.4795057,1.0,20.97826086956522,-0.3664781,-0.02603472,-0.7693116017009901,-0.7693116017009901,0.0,1.0
380000,1.4795055,1.0,26.157894736842106,-0.3183457,-0.022285314,-0.6858875783714088,-0.6858875783714088,0.0,1.0
381000,1.4795057,1.0,31.6,-0.30620825,-0.0231319,-0.5340344425170652,-0.5340344425170652,0.0,1.0
382000,1.4795057,1.0,23.29268292682927,-0.33865732,-0.026436556,-0.7206842390502372,-0.7206842390502372,0.0,1.0
383000,1.4795058,1.0,24.307692307692307,-0.33595815,-0.025229223,-0.683199330782279,-0.683199330782279,0.0,1.0
384000,1.4795057,1.0,26.97222222222222,-0.3334595,-0.026066829,-0.6532689183950424,-0.6532689183950424,0.0,1.0
385000,1.4795057,1.0,21.08888888888889,-0.3471185,-0.02708354,-0.8241137888696458,-0.8241137888696458,0.0,1.0
386000,1.4795057,1.0,24.0,-0.3370673,-0.028916609,-0.7318936824798584,-0.7318936824798584,0.0,1.0
387000,1.4795055,1.0,23.875,-0.3294371,-0.025011593,-0.7162456840276719,-0.7162456840276719,0.0,1.0
388000,1.4797754,1.0,29.324324324324323,-0.43004394,-0.038745947,-0.6127273042996725,-0.6127273042996725,0.0057012911667257095,1.0
389000,1.4814271,1.0,32.0,-0.50864196,-0.046588488,-0.6645087879151106,-0.6645087879151106,0.007802813590387814,1.0
390000,1.4814272,1.0,23.023809523809526,-0.49327415,-0.04796527,-0.7325949399244218,-0.7325949399244218,0.006393470712715671,1.0
391000,1.481427,1.0,26.52777777777778,-0.48718363,-0.046841964,-0.6641255799267027,-0.6641255799267027,0.0076055159992797095,1.0
392000,1.4814268,1.0,23.878048780487806,-0.49217606,-0.04476036,-0.7103011564510625,-0.7103011564510625,0.006576511824344535,1.0
393000,1.4814268,1.0,22.476190476190474,-0.47381186,-0.04658677,-0.6972657328560239,-0.6972657328560239,0.006970443117010984,1.0
394000,1.4814271,1.0,24.923076923076923,-0.48115182,-0.045719206,-0.6688099396534455,-0.6688099396534455,0.007234038695549736,1.0
