Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
4000,1.4189386,46.19444444444444,0.0095230015,0.7690277629428439,0.7690277629428439,1.0
8000,1.4189386,150.94594594594594,0.01114233,-0.37743248488451986,-0.37743248488451986,1.0
12000,1.4190806,187.88235294117646,-0.007767551,-0.812687560915947,-0.812687560915947,1.0
16000,1.4192822,168.0,-0.0018702418,-0.6293478737706724,-0.6293478737706724,1.0
20000,1.4192822,188.23076923076923,-0.01684909,-0.8598000621795654,-0.8598000621795654,1.0
24000,1.4183563,192.33333333333334,-0.057177756,-0.8955000638961792,-0.8955000638961792,1.0
28000,1.4178154,193.38095238095238,-0.055385996,-0.8042500590284666,-0.8042500590284666,1.0
32000,1.4174439,179.33333333333334,-0.04673404,-0.5836818787184629,-0.5836818787184629,1.0
36000,1.4159877,182.8,-0.07512471,-0.6802632149897123,-0.6802632149897123,1.0
40000,1.4159875,181.60714285714286,-0.058682747,-0.5446897149085999,-0.5446897149085999,1.0
44000,1.4160315,192.8235294117647,-0.08921607,-0.9062353547881631,-0.9062353547881631,1.0
48000,1.4160674,169.95,-0.058712263,-0.4997500479221344,-0.4997500479221344,1.0
52000,1.4160748,189.42307692307693,-0.054016534,-0.8656800627708435,-0.8656800627708435,1.0
56000,1.4160645,188.66666666666666,-0.0905195,-0.8848125636577606,-0.8848125636577606,1.0
60000,1.4160644,199.0,-0.032887433,-0.9950000643730164,-0.9950000643730164,1.0
64000,1.4156698,199.0,-0.055638604,-0.9956000655889511,-0.9956000655889511,1.0
68000,1.4148221,199.0,-0.069555946,-0.9950000643730164,-0.9950000643730164,1.0
72000,1.4148221,199.0,-0.006335601,-0.9954138583150404,-0.9954138583150404,1.0
76000,1.4134625,199.0,-0.072410025,-0.995705948156469,-0.995705948156469,1.0
80000,1.4131882,199.0,-0.06373737,-0.9950000643730164,-0.9950000643730164,1.0
84000,1.4126087,199.0,-0.052396484,-0.9955218045607858,-0.9955218045607858,1.0
88000,1.4116284,199.0,-0.09252604,-0.9957500658929348,-0.9957500658929348,1.0
92000,1.4116285,199.0,-0.06988569,-0.9950000643730164,-0.9950000643730164,1.0
96000,1.4101714,199.0,-0.10816097,-0.9956000655889511,-0.9956000655889511,1.0
100000,1.4096411,186.6,-0.11788575,-0.8663333932558696,-0.8663333932558696,1.0
104000,1.4095682,199.0,-0.09954713,-0.9954286366701126,-0.9954286366701126,1.0
108000,1.4094142,199.0,-0.14443198,-0.9956667323907217,-0.9956667323907217,1.0
112000,1.4094142,182.0,-0.13753608,-0.8092105859204343,-0.8092105859204343,1.0
116000,1.409592,192.875,-0.15688004,-0.9200870187386222,-0.9200870187386222,1.0
120000,1.4097297,178.61111111111111,-0.17911804,-0.7937895310552496,-0.7937895310552496,1.0
124000,1.4098542,199.0,-0.17365766,-0.9950000643730164,-0.9950000643730164,1.0
128000,1.4114397,199.0,-0.20872656,-0.9956000655889511,-0.9956000655889511,1.0
132000,1.4114397,199.0,-0.21210018,-0.9950000643730164,-0.9950000643730164,1.0
136000,1.411377,199.0,-0.21622683,-0.9954138583150404,-0.9954138583150404,1.0
