Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1000,1.4189385,0.0,41.791666666666664,0.2658291,-0.021282982,-0.6799002325405246,-0.6799002325405246,0.0,1.0
2000,1.4189385,0.0,36.2,0.25133595,-0.021452604,-0.9246430213634784,-0.9246430213634784,0.0,1.0
3000,1.4189384,0.0,41.541666666666664,0.25809774,-0.014177966,-0.8605077564716339,-0.8605077564716339,0.0,1.0
4000,1.4189385,0.0,37.34615384615385,0.28015298,-0.019622002,-0.9390086852587186,-0.9390086852587186,0.0,1.0
5000,1.4189384,0.0,43.95652173913044,0.2696552,-0.027521553,-0.916866632907287,-0.916866632907287,0.0,1.0
6000,1.4189384,0.0,38.791666666666664,0.26675367,-0.017153135,-0.924023300409317,-0.924023300409317,0.0,1.0
7000,1.4189385,0.0,40.16,0.24692528,-0.015220885,-0.7503904973467191,-0.7503904973467191,0.0,1.0
8000,1.4189383,0.0,43.81818181818182,0.24987847,-0.010123653,-0.8836683553198109,-0.8836683553198109,0.0,1.0
9000,1.4189384,0.0,38.68,0.25228593,-0.015325677,-0.891123685836792,-0.891123685836792,0.0,1.0
10000,1.4189384,0.0,40.25,0.2412195,-0.017871955,-1.0237144082784653,-1.0237144082784653,0.0,1.0
11000,1.4189383,0.0,35.81481481481482,0.24064523,-0.008877571,-0.9031653746410653,-0.9031653746410653,0.0,1.0
12000,1.4189383,0.0,38.96,0.2683474,-0.014223226,-0.8511748921871185,-0.8511748921871185,0.0,1.0
13000,1.4189385,0.0,41.333333333333336,0.2756963,-0.017058333,-0.9772355159123739,-0.9772355159123739,0.0,1.0
14000,1.4189383,0.0,42.17391304347826,0.26722065,-0.012225214,-0.9922875010448954,-0.9922875010448954,0.0,1.0
