Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189385,10.222222222222221,0.18543047,0.949886368079619,0.949886368079619,1.0
1000,1.4189384,30.875,0.13809353,0.8487499952316284,0.8487499952316284,1.0
1500,1.4189384,19.35,0.16081655,0.9009523931003752,0.9009523931003752,1.0
2000,1.4189384,42.2,0.07471292,0.9083333412806193,0.9083333412806193,1.0
2500,1.4189385,46.333333333333336,0.102677345,0.7049999833106995,0.7049999833106995,1.0
3000,1.4189384,34.75,0.11605644,0.8262499868869781,0.8262499868869781,1.0
3500,1.4189385,114.2,0.09125508,0.027399957180023193,0.027399957180023193,1.0
4000,1.4189384,121.66666666666667,0.07161919,0.05833327770233154,0.05833327770233154,1.0
4500,1.4189385,94.0,0.08951663,0.31928569078445435,0.31928569078445435,1.0
5000,1.4189385,51.578947368421055,0.14053157,0.5842105056110182,0.5842105056110182,1.0
5500,1.4189385,37.7,0.09675309,0.5289999783039093,0.5289999783039093,1.0
6000,1.4189384,53.90909090909091,0.12124581,0.5422727194699374,0.5422727194699374,1.0
6500,1.4189384,41.1,0.14214367,0.8839999914169312,0.8839999914169312,1.0
7000,1.4189385,55.0,0.1295999,0.49849998354911806,0.49849998354911806,1.0
7500,1.4189385,55.888888888888886,0.12467399,0.6474999845027923,0.6474999845027923,1.0
8000,1.4189384,28.285714285714285,0.12538809,0.5885714249951499,0.5885714249951499,1.0
8500,1.4189385,30.0,0.10792548,0.8564285721097674,0.8564285721097674,1.0
9000,1.4189385,114.83333333333333,0.07086212,-0.2500000476837158,-0.2500000476837158,1.0
9500,1.4189384,74.9,0.103712656,0.2705555359522502,0.2705555359522502,1.0
10000,1.4189386,46.46153846153846,0.14342502,0.5907692175645095,0.5907692175645095,1.0
10500,1.4192798,49.375,0.17153282,0.5579999804496765,0.5579999804496765,1.0
11000,1.4193867,6.0,0.23547478,0.8575000017881393,0.8575000017881393,1.0
11500,1.4193867,102.0,0.2587832,0.790909078988162,0.790909078988162,1.0
12000,1.4193866,59.75,0.2829575,0.5273684169116774,0.5273684169116774,1.0
12500,1.4193867,65.625,0.20241661,0.07166663805643718,0.07166663805643718,1.0
13000,1.4193867,21.46153846153846,0.2889515,0.9146153926849365,0.9146153926849365,1.0
13500,1.4193865,17.363636363636363,0.2942708,0.8872727372429587,0.8872727372429587,1.0
14000,1.4193867,24.714285714285715,0.3077858,0.7971428462437221,0.7971428462437221,1.0
14500,1.4193869,43.111111111111114,0.27773285,0.6910000026226044,0.6910000026226044,1.0
15000,1.4193867,53.333333333333336,0.2379495,0.5111111005147299,0.5111111005147299,1.0
15500,1.4193865,31.05,0.27391437,0.8349999942277607,0.8349999942277607,1.0
16000,1.4193866,34.588235294117645,0.3047807,0.7574999928474426,0.7574999928474426,1.0
16500,1.4193867,42.388888888888886,0.30510464,0.6394736798186051,0.6394736798186051,1.0
17000,1.4193869,44.07142857142857,0.29052624,0.6367857073034559,0.6367857073034559,1.0
17500,1.4193869,33.94444444444444,0.27288583,0.6849999957614474,0.6849999957614474,1.0
18000,1.4193867,11.9,0.2887171,0.9113636450334028,0.9113636450334028,1.0
18500,1.4193867,25.571428571428573,0.24971461,0.8575000117222468,0.8575000117222468,1.0
19000,1.4193866,38.0,0.25468963,0.7124999860922495,0.7124999860922495,1.0
19500,1.4193867,48.81818181818182,0.28581777,0.7708333283662796,0.7708333283662796,1.0
20000,1.4193866,76.66666666666667,0.23146978,0.28333330154418945,0.28333330154418945,1.0
20500,1.4193867,31.785714285714285,0.26855442,0.6519999941190083,0.6519999941190083,1.0
21000,1.4197272,44.333333333333336,0.38578293,0.6622222065925598,0.6622222065925598,1.0
21500,1.420182,46.5,0.3947329,0.6438461312880883,0.6438461312880883,1.0
22000,1.4201821,25.333333333333332,0.44854748,0.8181249971191088,0.8181249971191088,1.0
22500,1.420182,22.46153846153846,0.44668692,0.8153571443898338,0.8153571443898338,1.0
23000,1.420182,40.5,0.31352225,0.7975000043710073,0.7975000043710073,1.0
23500,1.4201819,27.333333333333332,0.38362557,0.7857142857142857,0.7857142857142857,1.0
