Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
4000,1.4189385,41.24242424242424,-0.29638064,0.16464852,0.7937878767649332,0.7937878767649332,0.0,1.0
8000,1.4189385,163.45714285714286,-0.31829345,0.15854694,-0.532600052016122,-0.532600052016122,0.0,1.0
12000,1.4194698,173.0,-0.29426345,0.14951788,-0.6032000571489334,-0.6032000571489334,0.05512430435046554,1.0
16000,1.4202726,177.44444444444446,-0.2881956,0.13653636,-0.6980000495910644,-0.6980000495910644,0.15158511735498906,1.0
20000,1.4202727,182.17857142857142,-0.28523162,0.14154059,-0.6614643463066646,-0.6614643463066646,0.19207234853612526,1.0
24000,1.4209116,194.25,-0.2945376,0.13941988,-0.7966667264699936,-0.7966667264699936,0.1546577188807229,1.0
28000,1.4217148,181.17391304347825,-0.29339272,0.13748291,-0.6974445051617093,-0.6974445051617093,0.10311143707346034,1.0
32000,1.4220921,178.57692307692307,-0.27583292,0.1358278,-0.585653903392645,-0.585653903392645,0.1015796152373346,1.0
36000,1.423546,176.21428571428572,-0.2931222,0.12939039,-0.4525000538144793,-0.4525000538144793,0.07196985797158309,1.0
40000,1.423546,169.76666666666668,-0.28649396,0.1319957,-0.5491000552972157,-0.5491000552972157,0.05772880025518437,1.0
44000,1.4234213,160.70833333333334,-0.22342019,0.11792094,-0.31695657061493915,-0.31695657061493915,0.0505405916913372,1.0
48000,1.4231681,182.3684210526316,-0.22575517,0.11368118,-0.8160000622272492,-0.8160000622272492,0.037761546089313924,1.0
52000,1.4231224,188.78571428571428,-0.22292346,0.112360016,-0.8104167257746061,-0.8104167257746061,0.035480044568733625,1.0
56000,1.4227246,199.0,-0.2438348,0.10662649,-0.9950000643730164,-0.9950000643730164,0.02842785191670474,1.0
60000,1.4227246,189.5,-0.236872,0.11103925,-0.8565909672867168,-0.8565909672867168,0.025006242985413832,1.0
64000,1.4226495,199.0,-0.25467572,0.10682615,-0.9950000643730164,-0.9950000643730164,0.024109946098178625,1.0
68000,1.4225715,199.0,-0.26501793,0.10351267,-0.9950000643730164,-0.9950000643730164,0.018670634382093945,1.0
72000,1.4225717,199.0,-0.24774854,0.11235069,-0.9950000643730164,-0.9950000643730164,0.021431507337838412,1.0
76000,1.4227115,199.0,-0.2822322,0.10255749,-0.9950000643730164,-0.9950000643730164,0.0160328376158658,1.0
80000,1.4226793,199.0,-0.27384195,0.106957816,-0.9950000643730164,-0.9950000643730164,0.015519272266445975,1.0
84000,1.4226652,199.0,-0.27888155,0.107020296,-0.9950000643730164,-0.9950000643730164,0.014589249642322893,1.0
88000,1.4226735,199.0,-0.29775748,0.10271078,-0.9950000643730164,-0.9950000643730164,0.011443725308506854,1.0
92000,1.4226733,199.0,-0.29669803,0.103785165,-0.9950000643730164,-0.9950000643730164,0.010171412063452104,1.0
96000,1.4222448,199.0,-0.31583524,0.098225616,-0.9950000643730164,-0.9950000643730164,0.010406372866349383,1.0
100000,1.4218752,199.0,-0.32022923,0.093375586,-0.9950000643730164,-0.9950000643730164,0.007451661843030403,1.0
104000,1.4217882,199.0,-0.31799626,0.09500134,-0.9950000643730164,-0.9950000643730164,0.008676943252794445,1.0
108000,1.4212247,199.0,-0.33876806,0.08497022,-0.9950000643730164,-0.9950000643730164,0.007659430668960947,1.0
112000,1.4212246,199.0,-0.33878264,0.085871905,-0.9950000643730164,-0.9950000643730164,0.006501117839147092,1.0
116000,1.4195244,199.0,-0.3495427,0.08159199,-0.9950000643730164,-0.9950000643730164,0.0063605071387111975,1.0
120000,1.417812,199.0,-0.35902357,0.07772058,-0.9950000643730164,-0.9950000643730164,0.005488439734714727,1.0
124000,1.4176152,199.0,-0.35657933,0.07756738,-0.9950000643730164,-0.9950000643730164,0.005668930741237654,1.0
128000,1.41654,199.0,-0.37389812,0.07000663,-0.9950000643730164,-0.9950000643730164,0.005641011733262401,1.0
132000,1.41654,199.0,-0.37382194,0.06958847,-0.9950000643730164,-0.9950000643730164,0.004940317256841809,1.0
