Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,1.4241356,15.596491228070175,-0.25058037,0.15716818,-0.9838190025516919,-0.9838190025516919,0.0,1.0
31000,1.4241356,16.946428571428573,-0.25075465,0.1507475,-0.9686463869043759,-0.9686463869043759,0.0,1.0
32000,1.4241354,17.685185185185187,-0.24637252,0.15047847,-0.9988962511221567,-0.9988962511221567,0.0,1.0
33000,1.4241356,17.0,-0.2554355,0.14940381,-0.9758120872757652,-0.9758120872757652,0.0,1.0
34000,1.4241356,16.50877192982456,-0.25021723,0.1504443,-0.9803017273283842,-0.9803017273283842,0.0,1.0
35000,1.4241354,18.9,-0.247495,0.15023436,-0.969381285905838,-0.969381285905838,0.0,1.0
36000,1.4241354,15.258064516129032,-0.24535371,0.14907531,-0.9798354583401834,-0.9798354583401834,0.0,1.0
37000,1.4241357,16.49122807017544,-0.24215776,0.14856724,-0.9730771675444486,-0.9730771675444486,0.0,1.0
38000,1.4241356,18.153846153846153,-0.24786367,0.15716735,-0.9602909833192825,-0.9602909833192825,0.0,1.0
39000,1.4241356,17.25,-0.24427299,0.15055871,-0.9819999575614929,-0.9819999575614929,0.0,1.0
40000,1.4241354,16.69090909090909,-0.25040534,0.14914683,-0.9804940213050161,-0.9804940213050161,0.0,1.0
41000,1.4241354,17.418181818181818,-0.24966255,0.15323797,-0.9777890552173961,-0.9777890552173961,0.0,1.0
42000,1.4241356,17.92452830188679,-0.24185322,0.14968468,-0.98225381397284,-0.98225381397284,0.0,1.0
43000,1.4241357,16.42105263157895,-0.2509587,0.15572011,-0.9649666383348662,-0.9649666383348662,0.0,1.0
44000,1.4241356,16.559322033898304,-0.23994936,0.15198502,-0.9571804291215437,-0.9571804291215437,0.0,1.0
45000,1.4241356,18.916666666666668,-0.24404734,0.15285467,-0.9692543903175665,-0.9692543903175665,0.0,1.0
46000,1.4241356,16.413793103448278,-0.24881858,0.15421368,-0.9738574397975001,-0.9738574397975001,0.0,1.0
47000,1.4241354,16.596491228070175,-0.24760579,0.15013354,-0.9826818286326894,-0.9826818286326894,0.0,1.0
48000,1.4241354,17.60377358490566,-0.2472022,0.1501995,-0.9693534149313873,-0.9693534149313873,0.0,1.0
49000,1.4241357,15.258064516129032,-0.2463754,0.14447057,-0.9769945817608987,-0.9769945817608987,0.0,1.0
50000,1.4245987,19.09433962264151,-0.33856973,0.14070882,-0.9826319587230682,-0.9826319587230682,0.009765440504997969,1.0
51000,1.4304823,18.274509803921568,-0.44768888,0.13489039,-0.9778371407435491,-0.9778371407435491,0.02175547288229259,1.0
52000,1.4304821,17.568627450980394,-0.44921023,0.13793172,-0.9644125418842964,-0.9644125418842964,0.02136934885122585,1.0
53000,1.430482,16.614035087719298,-0.44601053,0.13585877,-0.9608724796981142,-0.9608724796981142,0.019907157639401,1.0
54000,1.4304823,17.40740740740741,-0.44900972,0.13831475,-0.9604579795289923,-0.9604579795289923,0.02006612267103736,1.0
55000,1.4304823,17.618181818181817,-0.45283228,0.13839258,-0.9713623881340027,-0.9713623881340027,0.020627741668034685,1.0
56000,1.4304821,16.051724137931036,-0.4554444,0.14377053,-0.9763413390208935,-0.9763413390208935,0.01932154963563742,1.0
57000,1.430482,17.236363636363638,-0.44792184,0.13424328,-0.9783636006441984,-0.9783636006441984,0.021758481631563468,1.0
58000,1.4304821,18.7,-0.44220996,0.13693918,-0.9538718543800653,-0.9538718543800653,0.021674750281461312,1.0
59000,1.4304821,17.923076923076923,-0.44663712,0.13585402,-0.9585448457644536,-0.9585448457644536,0.020663741098430295,1.0
60000,1.4304821,15.40983606557377,-0.44487295,0.13657069,-0.970081922460775,-0.970081922460775,0.01815468750771929,1.0
61000,1.4304823,17.62962962962963,-0.45118994,0.13963749,-0.9551924118455851,-0.9551924118455851,0.019825179463709302,1.0
62000,1.4304823,16.11864406779661,-0.44752395,0.1389742,-0.9737410694360733,-0.9737410694360733,0.019592716141293445,1.0
63000,1.4304823,17.96153846153846,-0.44803765,0.13548838,-0.9693627850367472,-0.9693627850367472,0.02130322215648798,1.0
64000,1.4304823,16.63157894736842,-0.44717178,0.13353354,-0.9626186918794063,-0.9626186918794063,0.01957102168122666,1.0
65000,1.4304823,18.134615384615383,-0.44837686,0.14002737,-0.9470473871781275,-0.9470473871781275,0.021606539358169988,1.0
66000,1.4304823,16.857142857142858,-0.44838575,0.1349261,-0.9781094895941871,-0.9781094895941871,0.01919362462857472,1.0
67000,1.4304821,18.49019607843137,-0.4493979,0.14189872,-0.9743908164547939,-0.9743908164547939,0.021637108542171178,1.0
68000,1.4304823,16.482758620689655,-0.44589528,0.13378347,-0.974416061721999,-0.974416061721999,0.019771441777140415,1.0
69000,1.430482,15.694915254237289,-0.45171016,0.137911,-0.9633536348908635,-0.9633536348908635,0.01782907280376402,1.0
70000,1.4304823,16.75438596491228,-0.45051175,0.1381361,-0.9800666277868706,-0.9800666277868706,0.01904852175268165,1.0
71000,1.4342923,17.254545454545454,-0.6271227,0.14683387,-0.9523987423289906,-0.9523987423289906,0.015208540171046149,1.0
72000,1.4365748,17.185185185185187,-0.6377275,0.15303119,-0.9393616958900735,-0.9393616958900735,0.014433177248402327,1.0
73000,1.4365748,18.735849056603772,-0.6341355,0.14941207,-0.9305730278675373,-0.9305730278675373,0.016253455291287258,1.0
74000,1.4365748,16.85185185185185,-0.6330239,0.15003684,-0.944733283736489,-0.944733283736489,0.014784148386256262,1.0
75000,1.4365748,17.5,-0.6322757,0.1517688,-0.955628349825188,-0.955628349825188,0.014328621422733974,1.0
76000,1.4365748,18.0,-0.63961643,0.15222101,-0.9556578251550782,-0.9556578251550782,0.015069027686105022,1.0
77000,1.4365749,17.0,-0.6354867,0.1524327,-0.9624945044517517,-0.9624945044517517,0.01407474557953802,1.0
78000,1.4365747,16.607142857142858,-0.63504183,0.1523147,-0.953202295721623,-0.953202295721623,0.013791937834436172,1.0
79000,1.4365748,16.54385964912281,-0.6329382,0.14964008,-0.9685742332224261,-0.9685742332224261,0.013875281372875498,1.0
80000,1.4365748,18.21153846153846,-0.6337027,0.1475141,-0.9803089338999528,-0.9803089338999528,0.015223910387318868,1.0
81000,1.4365748,16.203389830508474,-0.6438351,0.1521967,-0.9613468495465941,-0.9613468495465941,0.013794559401349497,1.0
82000,1.4365748,16.275862068965516,-0.6382423,0.14942406,-0.9874413352588127,-0.9874413352588127,0.014329638874061919,1.0
83000,1.4365748,19.0,-0.63349414,0.15057325,-0.9555626153945923,-0.9555626153945923,0.016727997995913027,1.0
84000,1.4365748,16.0,-0.64009684,0.14992788,-0.9718861610725008,-0.9718861610725008,0.014138129965305841,1.0
85000,1.4365748,17.537037037037038,-0.64065415,0.15272434,-0.9525937868489159,-0.9525937868489159,0.01405297656957474,1.0
86000,1.4365748,17.425925925925927,-0.637315,0.14951192,-0.9760863803051136,-0.9760863803051136,0.015009608085232752,1.0
87000,1.4365748,17.017857142857142,-0.63658655,0.15011947,-0.9572047261255128,-0.9572047261255128,0.01452745815705774,1.0
88000,1.4365748,17.71698113207547,-0.63544387,0.15167463,-0.9749848628943821,-0.9749848628943821,0.015543023669073041,1.0
89000,1.4365748,16.620689655172413,-0.639104,0.15261656,-0.9662999675191682,-0.9662999675191682,0.0141739812157727,1.0
90000,1.4365748,18.0188679245283,-0.6366433,0.15160744,-0.9659115007290473,-0.9659115007290473,0.015164992404886736,1.0
91000,1.436987,17.054545454545455,-0.712237,0.14728005,-0.9705127000808715,-0.9705127000808715,0.012767654276368293,1.0
92000,1.4419594,17.826923076923077,-0.800203,0.14611252,-0.9553773234475333,-0.9553773234475333,0.011471206155377176,1.0
93000,1.4419594,18.725490196078432,-0.7970711,0.14736556,-0.9335186290740967,-0.9335186290740967,0.012612464111298323,1.0
94000,1.4419594,16.28813559322034,-0.80894464,0.15005054,-0.9689479965274617,-0.9689479965274617,0.010859119701909564,1.0
95000,1.4419594,19.78723404255319,-0.8001144,0.14878309,-0.9287485666573048,-0.9287485666573048,0.012486731129077574,1.0
96000,1.4419594,16.946428571428573,-0.79578733,0.14671175,-0.977671392261982,-0.977671392261982,0.01093969983048737,1.0
97000,1.4419594,18.423076923076923,-0.7985631,0.14878191,-0.9661529064178467,-0.9661529064178467,0.012330970398205169,1.0
98000,1.4419594,17.29090909090909,-0.7983028,0.14686443,-0.9638963884540966,-0.9638963884540966,0.010990265943941526,1.0
99000,1.4419594,17.49056603773585,-0.7983683,0.14749813,-0.9422251109806996,-0.9422251109806996,0.011632302771586011,1.0
100000,1.4419594,17.444444444444443,-0.7999578,0.14730775,-0.950090084914808,-0.950090084914808,0.011580974281834508,1.0
101000,1.4419594,16.789473684210527,-0.8035294,0.14886943,-0.9544619489134404,-0.9544619489134404,0.010595898092887773,1.0
102000,1.4419594,16.06896551724138,-0.8054745,0.14661789,-0.9645493832127802,-0.9645493832127802,0.011554844404474414,1.0
103000,1.4419594,17.98181818181818,-0.801144,0.14825219,-0.949882983036761,-0.949882983036761,0.011609002381106312,1.0
104000,1.4419594,16.345454545454544,-0.7993879,0.14448768,-0.9600923531933835,-0.9600923531933835,0.010816694159681598,1.0
105000,1.4419594,16.271186440677965,-0.80106366,0.14608607,-0.9760293394832288,-0.9760293394832288,0.011300834471959684,1.0
106000,1.4419594,17.10909090909091,-0.8016744,0.14557122,-0.9395139087330211,-0.9395139087330211,0.01100698590955951,1.0
107000,1.4419594,17.21818181818182,-0.80568236,0.14642234,-0.9710314783183012,-0.9710314783183012,0.011984723230654543,1.0
108000,1.4419594,18.0,-0.8024403,0.14665331,-0.968625606252597,-0.968625606252597,0.012378272833302617,1.0
109000,1.4419594,14.96774193548387,-0.8032055,0.14614263,-0.9601709371612918,-0.9601709371612918,0.009911675422993158,1.0
110000,1.4419594,16.70175438596491,-0.80292237,0.147577,-0.9580490871479637,-0.9580490871479637,0.010625006802576152,1.0
111000,1.4419594,15.783333333333333,-0.8001045,0.14689933,-0.9678892210378485,-0.9678892210378485,0.010691522936320912,1.0
112000,1.4458466,16.29310344827586,-0.85874945,0.14591217,-0.9467955142259598,-0.9467955142259598,0.008859013896047449,1.0
113000,1.4481622,17.314814814814813,-0.85986334,0.14632958,-0.9476197207415545,-0.9476197207415545,0.009222173800312535,1.0
114000,1.4481622,16.642857142857142,-0.8599543,0.14455353,-0.9511261518512454,-0.9511261518512454,0.008697495271917433,1.0
115000,1.4481622,16.448275862068964,-0.863245,0.14407033,-0.9446263888786579,-0.9446263888786579,0.009137002951947266,1.0
