Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
8510000,2.6800244,13.0,51.270270270270274,0.1613789,-0.08358037,-0.6073845326900482,-0.6073845326900482,0.0,1.0
8515000,2.6800246,13.0,67.61643835616438,0.17755562,-0.051380597,-0.38188598090655185,-0.38188598090655185,0.0,1.0
8520000,2.6800249,13.0,70.45714285714286,0.15775198,-0.06635455,-0.34920738871608464,-0.34920738871608464,0.0,1.0
8525000,2.6800246,13.0,71.05714285714286,0.16850634,-0.053447124,-0.3168264376265662,-0.3168264376265662,0.0,1.0
8530000,2.6801295,13.0,63.325301204819276,0.102584235,-0.094600126,-0.3976557395960155,-0.3976557395960155,0.010442883235794542,1.0
8535000,2.6816576,13.0,70.796875,0.024242096,-0.13866274,-0.34029273523224723,-0.34029273523224723,0.04187597124190587,1.0
8540000,2.6816578,13.0,73.3731343283582,-0.013611499,-0.16460776,-0.32656353267271127,-0.32656353267271127,0.04497728929090411,1.0
8545000,2.6816576,13.0,65.05263157894737,-0.010653984,-0.1515046,-0.4204778475196738,-0.4204778475196738,0.03955202697972326,1.0
8550000,2.681719,13.0,70.21052631578948,-0.0053820093,-0.1570845,-0.25734257568483765,-0.25734257568483765,0.0432644526447183,1.0
8555000,2.6830325,13.0,63.521126760563384,-0.116780505,-0.21966644,-0.3820445762994962,-0.3820445762994962,0.039123441821011976,1.0
8560000,2.6830328,13.0,72.17391304347827,-0.109032765,-0.23344809,-0.31795571506887244,-0.31795571506887244,0.04133178654086331,1.0
8565000,2.6830325,13.0,68.45833333333333,-0.117770225,-0.218988,-0.3189064525067806,-0.3189064525067806,0.03991173001446037,1.0
8570000,2.6830661,13.0,68.74712643678161,-0.11707093,-0.23194253,-0.36570565051892223,-0.36570565051892223,0.04290411021450863,1.0
8575000,2.6861415,13.0,65.34482758620689,-0.16542216,-0.27763385,-0.3617989200276214,-0.3617989200276214,0.03766679235842901,1.0
8580000,2.6861417,13.0,66.21333333333334,-0.16394952,-0.27320302,-0.3729795062541962,-0.3729795062541962,0.03888940152401726,1.0
8585000,2.6861415,13.0,71.1159420289855,-0.15436439,-0.2703693,-0.2917139707268148,-0.2917139707268148,0.04045480066586448,1.0
8590000,2.6861417,13.0,73.41176470588235,-0.16328257,-0.27223933,-0.296884867198327,-0.296884867198327,0.04313928664059324,1.0
8595000,2.687261,13.0,76.09375,-0.22758527,-0.34357396,-0.2488897517323494,-0.2488897517323494,0.041929004109988455,1.0
8600000,2.6878076,13.0,70.3943661971831,-0.23038208,-0.34527722,-0.36079414041948993,-0.36079414041948993,0.03960970368787226,1.0
8605000,2.6878076,13.0,72.0,-0.21181953,-0.32785726,-0.2955862310002832,-0.2955862310002832,0.040239838150549025,1.0
8610000,2.6878073,13.0,71.2,-0.23775569,-0.33058223,-0.36182410863862524,-0.36182410863862524,0.03949711485968336,1.0
8615000,2.6887357,13.0,72.78461538461538,-0.24537405,-0.3848974,-0.32029130387662064,-0.32029130387662064,0.04174829154873072,1.0
8620000,2.6893294,13.0,70.35714285714286,-0.24883136,-0.3845081,-0.3193111960377012,-0.3193111960377012,0.03947656030567097,1.0
8625000,2.6893294,13.0,71.59420289855072,-0.25037825,-0.38880718,-0.3490745407947596,-0.3490745407947596,0.04099490499609838,1.0
8630000,2.6893294,13.0,71.68115942028986,-0.23195568,-0.38091618,-0.2583246019439421,-0.2583246019439421,0.04093557049560806,1.0
8635000,2.6905727,13.0,68.6027397260274,-0.25591072,-0.42507675,-0.4042390324175358,-0.4042390324175358,0.03855236891993425,1.0
8640000,2.692903,13.0,73.63636363636364,-0.26357755,-0.44723174,-0.28606046224707987,-0.28606046224707987,0.04182579440634642,1.0
8645000,2.6929033,13.0,63.896103896103895,-0.26756743,-0.43299484,-0.47753467884930695,-0.47753467884930695,0.03750814153365307,1.0
8650000,2.692903,13.0,67.06849315068493,-0.26586828,-0.42834297,-0.2993659973144531,-0.2993659973144531,0.03668238041437652,1.0
8655000,2.6937003,13.0,70.15492957746478,-0.28870434,-0.4732915,-0.3333701042222305,-0.3333701042222305,0.03762302156800116,1.0
8660000,2.6949806,13.0,68.5,-0.31060335,-0.4932738,-0.36414051635397804,-0.36414051635397804,0.03715741087216884,1.0
8665000,2.6949804,13.0,74.13636363636364,-0.2827037,-0.5053713,-0.23324097060795987,-0.23324097060795987,0.03943968773113959,1.0
