Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
480000,1.5009757,1.0,47.46835443037975,0.49386626,0.085678466,0.906850183621431,0.906850183621431,0.0,1.0
485000,1.5009757,1.0,51.88297872340426,0.47725496,0.0864142,0.8552609377718986,0.8552609377718986,0.0,1.0
490000,1.5009757,1.0,48.48,0.49543118,0.08524657,0.8553303509950638,0.8553303509950638,0.0,1.0
495000,1.5009758,1.0,51.666666666666664,0.48229924,0.08607653,0.8983706163732629,0.8983706163732629,0.0,1.0
500000,1.5013098,1.0,47.33980582524272,0.49636474,0.07423437,0.8998386782522385,0.8998386782522385,0.006198640259054418,1.0
505000,1.5016345,1.0,46.198113207547166,0.49970698,0.06790429,0.8580926641259553,0.8580926641259553,0.009292896002320186,1.0
510000,1.5016345,1.0,47.666666666666664,0.49150714,0.06806483,0.9304183832570618,0.9304183832570618,0.009413519650515095,1.0
515000,1.5016345,1.0,45.86915887850467,0.49010515,0.06850682,0.8970741131038309,0.8970741131038309,0.00914624588624966,1.0
520000,1.5018697,1.0,46.160377358490564,0.4964452,0.0655555,0.8801613399442637,0.8801613399442637,0.009313160773226112,1.0
525000,1.5022649,1.0,51.458333333333336,0.47773886,0.0645568,0.8949846643954515,0.8949846643954515,0.010262913475647414,1.0
530000,1.5022649,2.0,29.1890243902439,0.5415722,0.061235383,-0.24922749799926106,-0.24922749799926106,0.007638278589072842,1.0
535000,1.502265,2.0,29.67484662576687,0.5431309,0.061293222,-0.4197767228802289,-0.4197767228802289,0.00860193080805882,1.0
540000,1.5028344,2.0,30.304347826086957,0.46374786,0.0658731,-0.4020924601495636,-0.4020924601495636,0.008370897327752216,1.0
545000,1.5039303,2.0,30.70700636942675,0.3426746,0.07179455,-0.3933333788926785,-0.3933333788926785,0.008415788759101326,1.0
550000,1.5039301,2.0,33.136054421768705,0.3463704,0.072214074,-0.3223765327318295,-0.3223765327318295,0.008830980489005309,1.0
555000,1.5039301,2.0,33.86013986013986,0.33458963,0.07260393,-0.26324788465366494,-0.26324788465366494,0.00921015696228853,1.0
560000,1.5047098,2.0,32.34437086092715,0.27708,0.06088555,-0.314714748733091,-0.314714748733091,0.008403530564862273,1.0
565000,1.5071368,2.0,31.657894736842106,0.1733043,0.04175993,-0.3628655730893737,-0.3628655730893737,0.00850825253904699,1.0
570000,1.507137,2.0,31.75,0.1752385,0.04140069,-0.4104326722261153,-0.4104326722261153,0.008381362929388783,1.0
575000,1.507137,2.0,33.84615384615385,0.17228295,0.041680343,-0.21766700057519806,-0.21766700057519806,0.008777368629428869,1.0
580000,1.5078118,2.0,31.95394736842105,0.14834781,0.038181216,-0.3330363643012549,-0.3330363643012549,0.008046113980143625,1.0
585000,1.5116867,2.0,31.324675324675326,0.03923139,0.027943816,-0.32708705787534836,-0.32708705787534836,0.0077608834556001545,1.0
590000,1.5116867,2.0,34.26056338028169,0.047581848,0.028131703,-0.26074794018772285,-0.26074794018772285,0.008649163721227678,1.0
595000,1.5116867,2.0,31.723684210526315,0.05568498,0.027655143,-0.3287905756580202,-0.3287905756580202,0.007989426375532179,1.0
600000,1.5118133,2.0,34.97278911564626,0.03754235,0.028079797,-0.20261877944283452,-0.20261877944283452,0.008351132951524927,1.0
605000,1.5135598,2.0,31.36986301369863,-0.101475246,0.026688054,-0.32563583258735507,-0.32563583258735507,0.008038515383592121,1.0
610000,1.5135597,2.0,33.183673469387756,-0.09425519,0.026915597,-0.30641909034884707,-0.30641909034884707,0.00796774397984299,1.0
615000,1.5135597,2.0,33.58620689655172,-0.10073375,0.026758,-0.2585857054282879,-0.2585857054282879,0.008359169738431428,1.0
620000,1.513587,2.0,32.85443037974684,-0.1030729,0.026677806,-0.2766658077909522,-0.2766658077909522,0.0078781975364657,1.0
625000,1.5154419,2.0,35.52,-0.18098855,0.028133957,-0.17899889466555222,-0.17899889466555222,0.00844795658401605,1.0
630000,1.5154419,2.0,34.02097902097902,-0.19391349,0.028031623,-0.19068760596788847,-0.19068760596788847,0.007854231052797523,1.0
635000,1.5154419,2.0,35.2,-0.19020589,0.02792093,-0.23814077192930866,-0.23814077192930866,0.007950155530962424,1.0
640000,1.5154419,2.0,34.60144927536232,-0.19234076,0.027779317,-0.21550825924324474,-0.21550825924324474,0.00793211424904172,1.0
645000,1.5171711,2.0,36.162962962962965,-0.20792006,0.029599974,-0.15570672860851995,-0.15570672860851995,0.008332439659473797,1.0
650000,1.5175153,2.0,34.274647887323944,-0.2231533,0.029329259,-0.24051047935032507,-0.24051047935032507,0.00772293347498061,1.0
655000,1.5175153,2.0,37.55813953488372,-0.21117741,0.029755091,-0.09080284833908081,-0.09080284833908081,0.008940622652700358,1.0
660000,1.5175153,2.0,36.11764705882353,-0.20597558,0.029426472,-0.17365564318264232,-0.17365564318264232,0.008648352640995975,1.0
665000,1.5193013,2.0,34.76258992805755,-0.21390525,0.030408325,-0.17623285981390974,-0.17623285981390974,0.007966719669115684,1.0
670000,1.5198525,2.0,34.21830985915493,-0.22573154,0.030524312,-0.21030231072029598,-0.21030231072029598,0.007433650787250782,1.0
675000,1.5198525,2.0,36.65909090909091,-0.2079456,0.030771267,-0.12017672350912383,-0.12017672350912383,0.008344283667886912,1.0
680000,1.5198524,2.0,35.333333333333336,-0.20726036,0.030622136,-0.1562626642593439,-0.1562626642593439,0.008029435825385694,1.0
685000,1.5213554,2.0,35.67153284671533,-0.18421315,0.031082237,-0.139970566887055,-0.139970566887055,0.007891980113706341,1.0
690000,1.5222827,2.0,35.851851851851855,-0.18555753,0.030857744,-0.1104951717235424,-0.1104951717235424,0.008121833371653876,1.0
695000,1.5222827,2.0,38.912,-0.17430875,0.030984668,0.0012664909362792968,0.0012664909362792968,0.008388703373260796,1.0
700000,1.5222827,2.0,36.946969696969695,-0.18464611,0.031151872,-0.1242382490273678,-0.1242382490273678,0.00807203415333237,1.0
705000,1.5237616,2.0,34.858156028368796,-0.19206749,0.031076046,-0.22029849548711844,-0.22029849548711844,0.0072814637055316715,1.0
710000,1.524973,2.0,35.536764705882355,-0.18951494,0.031404804,-0.1790779984610922,-0.1790779984610922,0.007999753932167283,1.0
715000,1.524973,2.0,36.330827067669176,-0.19360094,0.03155788,-0.08033239662199092,-0.08033239662199092,0.007781589496530648,1.0
720000,1.524973,2.0,36.7593984962406,-0.18337786,0.031448327,-0.06534623001751147,-0.06534623001751147,0.008236178908588127,1.0
725000,1.5256617,2.0,36.721804511278194,-0.17381966,0.03032362,-0.0886749481796322,-0.0886749481796322,0.008178089479250568,1.0
730000,1.5266694,2.0,37.030534351145036,-0.17685793,0.03022026,-0.06791425615776586,-0.06791425615776586,0.007924339449644545,1.0
735000,1.5266695,2.0,35.74264705882353,-0.18645032,0.029822273,-0.10249888853115194,-0.10249888853115194,0.007794311062966967,1.0
740000,1.5266695,2.0,37.6124031007752,-0.17926203,0.030054474,0.07021976903427479,0.07021976903427479,0.008140653160638934,1.0
745000,1.5264269,2.0,35.8235294117647,-0.15550798,0.029734388,-0.05114859561709797,-0.05114859561709797,0.007789048732614473,1.0
750000,1.525812,2.0,36.95454545454545,-0.12766443,0.029313516,-0.05436794346932209,-0.05436794346932209,0.007846214359619118,1.0
755000,1.5258121,2.0,36.71969696969697,-0.12723708,0.029158514,-0.05704915771881739,-0.05704915771881739,0.007897127123380249,1.0
760000,1.525812,2.0,34.86524822695036,-0.12693238,0.029024022,-0.07414234961782183,-0.07414234961782183,0.007558313961739518,1.0
765000,1.5262716,2.0,37.761538461538464,-0.10959459,0.029589744,0.0018260891620929425,0.0018260891620929425,0.008221296548771743,1.0
770000,1.5279722,2.0,37.23664122137404,-0.11082591,0.029314224,0.01922130539217068,0.01922130539217068,0.007818275381889166,1.0
775000,1.5279723,2.0,36.57251908396947,-0.0971492,0.029168474,0.03422296272985863,0.03422296272985863,0.008298763219940927,1.0
780000,1.5279723,2.0,35.824817518248175,-0.11349527,0.02903003,0.04703554967894171,0.04703554967894171,0.007875291164539564,1.0
785000,1.5281323,2.0,38.125984251968504,-0.09660461,0.029775744,0.04938764834967185,0.04938764834967185,0.00798266436483007,1.0
790000,1.5296241,2.0,38.92913385826772,-0.044487752,0.032214772,0.06476341637354048,0.06476341637354048,0.008448311235822206,1.0
795000,1.5296241,2.0,38.24,-0.04724918,0.031930726,0.09629770403816587,0.09629770403816587,0.008683696220118907,1.0
800000,1.5296241,2.0,37.713178294573645,-0.047397673,0.03191879,0.016533575316732243,0.016533575316732243,0.008105236237377737,1.0
805000,1.5296988,2.0,40.315384615384616,-0.046137176,0.032005113,0.03499472141265869,0.03499472141265869,0.008187116783422729,1.0
810000,1.5326117,2.0,37.55,-0.018457435,0.03419314,0.024846230670223086,0.024846230670223086,0.008015420439095772,1.0
815000,1.5326117,2.0,39.83471074380165,-0.015677301,0.03412698,0.13074057659164803,0.13074057659164803,0.008124996906100605,1.0
820000,1.5326117,2.0,40.608333333333334,-0.0081770355,0.034021817,0.2003672555088997,0.2003672555088997,0.008584920156863518,1.0
825000,1.5326705,2.0,38.648275862068964,-0.020985853,0.033584595,0.06449094766706932,0.06449094766706932,0.007941192123254276,1.0
830000,1.5349799,2.0,40.03846153846154,0.0240261,0.035258986,0.17056156059757607,0.17056156059757607,0.008619096286625404,1.0
835000,1.5349799,2.0,37.36363636363637,0.017741632,0.034358777,0.05309855937957764,0.05309855937957764,0.0079719640389227,1.0
840000,1.5349799,2.0,38.685483870967744,0.021621697,0.034860924,0.12988152074813844,0.12988152074813844,0.008183345571160317,1.0
845000,1.5349799,2.0,40.413223140495866,0.031206228,0.03501309,0.2692690018779975,0.2692690018779975,0.00877957047378906,1.0
850000,1.5361143,2.0,43.55357142857143,0.08314078,0.036769398,0.27483919475759777,0.27483919475759777,0.009204696088480497,1.0
855000,1.5363714,2.0,39.50806451612903,0.0726088,0.036445487,0.17688610156377158,0.17688610156377158,0.008398171695994168,1.0
860000,1.5363712,2.0,38.95161290322581,0.06946887,0.035594445,0.12270722455448574,0.12270722455448574,0.007833163680819174,1.0
865000,1.5363714,2.0,40.84033613445378,0.0710645,0.036657564,0.22420664394603057,0.22420664394603057,0.008367963960910794,1.0
870000,1.5374919,2.0,41.05042016806723,0.098944075,0.03790792,0.2651152104890647,0.2651152104890647,0.008456787897641732,1.0
875000,1.5379953,2.0,40.00819672131148,0.11011809,0.03825277,0.20936024977155954,0.20936024977155954,0.008567043388654933,1.0
880000,1.5379953,2.0,37.8515625,0.09151922,0.037721977,0.12262546144998991,0.12262546144998991,0.007997223601425784,1.0
