Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1139000,1.584719,31.210526315789473,0.36128986,0.03982498,0.5314518989374241,0.5314518989374241,0.0,1.0
1140000,1.5847188,39.26923076923077,0.35070476,0.04046465,0.27295841711262864,0.27295841711262864,0.0,1.0
1141000,1.5847188,40.208333333333336,0.37656778,0.039008364,0.6004103336196679,0.6004103336196679,0.0,1.0
1142000,1.5847188,39.32,0.35898456,0.04013997,0.5860306403289238,0.5860306403289238,0.0,1.0
1143000,1.5847188,37.84615384615385,0.3699854,0.04066006,0.2004180308431387,0.2004180308431387,0.0,1.0
1144000,1.5847188,39.166666666666664,0.3669237,0.038950592,0.6147600644826889,0.6147600644826889,0.0,1.0
1145000,1.5847188,38.64,0.352684,0.038872074,0.5447467640042305,0.5447467640042305,0.0,1.0
1146000,1.584719,35.25925925925926,0.36395317,0.040391304,0.4564691953085087,0.4564691953085087,0.0,1.0
1147000,1.5847188,40.53846153846154,0.36788723,0.03939126,0.37513075590133665,0.37513075590133665,0.0,1.0
1148000,1.584719,41.09090909090909,0.3583155,0.0402023,0.3892290644023729,0.3892290644023729,0.0,1.0
1149000,1.5847188,38.42307692307692,0.36635098,0.03940613,0.5204641634168533,0.5204641634168533,0.0,1.0
1150000,1.5847188,37.19230769230769,0.35969144,0.039579812,0.2872975176343551,0.2872975176343551,0.0,1.0
1151000,1.5847188,38.96153846153846,0.36218798,0.039519623,0.38363207459449766,0.38363207459449766,0.0,1.0
1152000,1.5847187,40.04,0.37071428,0.038800687,0.560347301264604,0.560347301264604,0.0,1.0
1153000,1.5847188,40.04347826086956,0.34600395,0.040953174,0.3451787510514259,0.3451787510514259,0.0,1.0
1154000,1.5847188,38.0,0.34766206,0.040418267,0.31541074454784396,0.31541074454784396,0.0,1.0
1155000,1.584719,39.5,0.3520382,0.03953211,0.5141574281454087,0.5141574281454087,0.0,1.0
