Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
39500,1.4253933,5.6891891891891895,0.62953144,1.0,1.0,1.0
40000,1.4253935,5.209876543209877,0.6295315,1.0,1.0,1.0
40500,1.4253933,6.78125,0.6295315,1.0,1.0,1.0
41000,1.4253935,6.304347826086956,0.6295315,1.0,1.0,1.0
41500,1.4271126,4.387096774193548,0.8902237,1.0,1.0,1.0
42000,1.4272015,4.2105263157894735,0.89305735,1.0,1.0,1.0
42500,1.4272015,3.8076923076923075,0.89305717,1.0,1.0,1.0
43000,1.4272015,3.8349514563106797,0.8930573,1.0,1.0,1.0
43500,1.4272015,4.964705882352941,0.89305735,1.0,1.0,1.0
44000,1.4272015,3.7403846153846154,0.89305717,1.0,1.0,1.0
44500,1.4272015,4.640449438202247,0.8930572,1.0,1.0,1.0
45000,1.4272015,4.516483516483516,0.8930573,1.0,1.0,1.0
45500,1.4272015,4.617977528089888,0.8930572,1.0,1.0,1.0
46000,1.4272015,4.319148936170213,0.8930573,1.0,1.0,1.0
46500,1.4272015,4.5777777777777775,0.8930572,1.0,1.0,1.0
47000,1.4272016,4.252631578947368,0.89305735,1.0,1.0,1.0
47500,1.4272015,4.659090909090909,0.8930572,1.0,1.0,1.0
48000,1.4272015,3.761904761904762,0.89305717,1.0,1.0,1.0
48500,1.4272014,4.03,0.8930572,1.0,1.0,1.0
49000,1.4272015,4.595505617977528,0.8930572,1.0,1.0,1.0
49500,1.4272015,4.276595744680851,0.8930573,1.0,1.0,1.0
50000,1.4272014,4.588888888888889,0.8930572,1.0,1.0,1.0
50500,1.4272015,4.724137931034483,0.89305735,1.0,1.0,1.0
51000,1.4272015,4.387096774193548,0.8930573,1.0,1.0,1.0
51500,1.4277397,3.415929203539823,0.9360845,1.0,1.0,1.0
