Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189384,10.478260869565217,-0.22042109,1.0,1.0,1.0
1000,1.4189385,33.214285714285715,-0.19918574,1.0,1.0,1.0
1500,1.4189384,42.4,-0.17392704,1.0,1.0,1.0
2000,1.4189388,60.333333333333336,-0.15814571,1.0,1.0,1.0
2500,1.4189385,46.0,-0.13348609,1.0,1.0,1.0
3000,1.4189385,63.875,-0.15835626,1.0,1.0,1.0
3500,1.4189386,150.5,-0.15051827,0.2857142857142857,0.2857142857142857,1.0
4000,1.4189385,64.14285714285714,-0.17023626,0.625,0.625,1.0
4500,1.4189384,78.8,-0.16107114,0.75,0.75,1.0
5000,1.4189384,54.166666666666664,-0.17422083,1.0,1.0,1.0
5500,1.4189385,23.0,-0.1829948,1.0,1.0,1.0
6000,1.4189385,43.84615384615385,-0.18758817,0.9230769230769231,0.9230769230769231,1.0
6500,1.4189384,86.44444444444444,-0.1720538,0.5555555555555556,0.5555555555555556,1.0
7000,1.4189384,11.0,-0.20511293,1.0,1.0,1.0
7500,1.4189383,91.0,-0.15414596,0.5714285714285714,0.5714285714285714,1.0
8000,1.4189386,52.294117647058826,-0.19365227,0.8823529411764706,0.8823529411764706,1.0
8500,1.4189385,93.2,-0.16971698,0.5714285714285714,0.5714285714285714,1.0
9000,1.4189384,29.0,-0.19030531,1.0,1.0,1.0
9500,1.4189385,50.25,-0.17502895,1.0,1.0,1.0
10000,1.4189385,99.57142857142857,-0.15987343,0.6666666666666666,0.6666666666666666,1.0
10500,1.4191151,48.535714285714285,-0.19861695,1.0,1.0,1.0
11000,1.4191395,None,-0.017744549,0.8333333333333334,0.8333333333333334,1.0
11500,1.4191397,12.333333333333334,-0.005624835,0.8181818181818182,0.8181818181818182,1.0
12000,1.4191397,21.666666666666668,-0.0017380841,1.0,1.0,1.0
12500,1.4191397,71.4,-0.009278936,0.875,0.875,1.0
13000,1.4191397,23.705882352941178,-0.00037637685,0.85,0.85,1.0
13500,1.4191397,42.75,-0.0060829404,0.8333333333333334,0.8333333333333334,1.0
14000,1.4191399,35.06666666666667,-0.0040057115,0.8666666666666667,0.8666666666666667,1.0
14500,1.4191397,49.0,-0.005868213,1.0,1.0,1.0
15000,1.4191397,53.76470588235294,-0.0063169557,0.8235294117647058,0.8235294117647058,1.0
15500,1.4191399,16.285714285714285,-0.0046733753,1.0,1.0,1.0
16000,1.4191397,34.833333333333336,-0.00830232,1.0,1.0,1.0
16500,1.4191397,38.7,-0.004663957,1.0,1.0,1.0
17000,1.4191397,37.333333333333336,-0.019555382,0.75,0.75,1.0
17500,1.4191396,57.05555555555556,-0.003767855,0.8823529411764706,0.8823529411764706,1.0
18000,1.4191397,66.0,-0.014695577,0.6,0.6,1.0
18500,1.4191397,46.3125,-0.0036695632,0.8823529411764706,0.8823529411764706,1.0
19000,1.4191399,47.9,-0.010415817,1.0,1.0,1.0
19500,1.4191397,30.916666666666668,-0.0041977577,1.0,1.0,1.0
20000,1.4191397,41.13333333333333,-0.004873844,0.8666666666666667,0.8666666666666667,1.0
20500,1.4191396,37.94117647058823,-0.00091477507,0.9411764705882353,0.9411764705882353,1.0
21000,1.4192044,32.5,0.13563955,0.75,0.75,1.0
21500,1.4193449,None,0.16890483,1.0,1.0,1.0
22000,1.4193449,57.0,0.13217689,0.75,0.75,1.0
22500,1.4193448,38.833333333333336,0.18105131,1.0,1.0,1.0
23000,1.4193449,82.1,0.13979658,0.7,0.7,1.0
23500,1.4193448,72.83333333333333,0.17375472,0.6923076923076923,0.6923076923076923,1.0
24000,1.419345,40.0,0.15970197,0.8571428571428571,0.8571428571428571,1.0
24500,1.419345,33.68181818181818,0.19487165,0.9090909090909091,0.9090909090909091,1.0
25000,1.4193449,33.111111111111114,0.16893089,1.0,1.0,1.0
25500,1.419345,41.69230769230769,0.18619053,0.9166666666666666,0.9166666666666666,1.0
26000,1.4193448,27.0,0.169176,0.9166666666666666,0.9166666666666666,1.0
26500,1.4193448,47.0625,0.18588296,1.0,1.0,1.0
27000,1.4193451,29.8125,0.19323431,0.9375,0.9375,1.0
27500,1.419345,56.92857142857143,0.16037081,0.7857142857142857,0.7857142857142857,1.0
28000,1.4193449,36.666666666666664,0.17912911,0.7777777777777778,0.7777777777777778,1.0
28500,1.4193449,None,0.102998495,1.0,1.0,1.0
29000,1.4193448,26.642857142857142,0.19103584,1.0,1.0,1.0
29500,1.4193449,43.166666666666664,0.15211022,0.8333333333333334,0.8333333333333334,1.0
30000,1.4193448,92.77777777777777,0.14374289,0.75,0.75,1.0
30500,1.4193448,64.28571428571429,0.13971104,0.7142857142857143,0.7142857142857143,1.0
31000,1.4194168,42.68571428571428,0.23182333,0.9130434782608695,0.9130434782608695,1.0
31500,1.4200612,13.272727272727273,0.33376434,0.9090909090909091,0.9090909090909091,1.0
32000,1.4200611,20.5,0.32271874,0.9375,0.9375,1.0
32500,1.4200612,14.444444444444445,0.33364466,1.0,1.0,1.0
33000,1.4200613,21.071428571428573,0.33048183,0.9333333333333333,0.9333333333333333,1.0
33500,1.4200612,66.64285714285714,0.29437742,0.6923076923076923,0.6923076923076923,1.0
34000,1.4200611,19.375,0.35551894,1.0,1.0,1.0
34500,1.4200611,42.833333333333336,0.3003745,0.8333333333333334,0.8333333333333334,1.0
35000,1.4200612,28.6,0.33418763,0.9444444444444444,0.9444444444444444,1.0
35500,1.4200612,24.823529411764707,0.3293482,0.9444444444444444,0.9444444444444444,1.0
36000,1.4200612,38.473684210526315,0.3248324,0.8888888888888888,0.8888888888888888,1.0
36500,1.4200612,21.941176470588236,0.35667688,0.9393939393939394,0.9393939393939394,1.0
37000,1.4200611,33.0,0.3125205,1.0,1.0,1.0
37500,1.4200612,18.448275862068964,0.34940138,0.9666666666666667,0.9666666666666667,1.0
38000,1.4200611,30.875,0.3342357,0.9375,0.9375,1.0
38500,1.4200611,24.333333333333332,0.3020047,1.0,1.0,1.0
39000,1.4200612,17.142857142857142,0.3331918,1.0,1.0,1.0
39500,1.4200611,64.8,0.22955126,0.8,0.8,1.0
40000,1.4200612,32.625,0.3069838,1.0,1.0,1.0
40500,1.4200612,37.38461538461539,0.28504518,0.9230769230769231,0.9230769230769231,1.0
41000,1.4200612,34.42857142857143,0.31506816,0.9230769230769231,0.9230769230769231,1.0
41500,1.4200861,47.82608695652174,0.41370252,0.8333333333333334,0.8333333333333334,1.0
42000,1.4200577,33.333333333333336,0.45637882,0.8823529411764706,0.8823529411764706,1.0
42500,1.4200577,30.772727272727273,0.45383617,0.9047619047619048,0.9047619047619048,1.0
43000,1.4200575,31.136363636363637,0.44689915,0.9090909090909091,0.9090909090909091,1.0
43500,1.4200575,22.151515151515152,0.5067539,0.9393939393939394,0.9393939393939394,1.0
44000,1.4200575,12.105263157894736,0.45696703,1.0,1.0,1.0
44500,1.4200575,9.92,0.5109228,1.0,1.0,1.0
45000,1.4200577,18.04,0.49178466,1.0,1.0,1.0
45500,1.4200578,24.0,0.46642965,0.8888888888888888,0.8888888888888888,1.0
46000,1.4200577,29.275862068965516,0.4800256,0.9259259259259259,0.9259259259259259,1.0
46500,1.4200578,23.428571428571427,0.46336415,0.9375,0.9375,1.0
47000,1.4200575,9.73913043478261,0.47778758,1.0,1.0,1.0
47500,1.4200575,31.266666666666666,0.471598,0.9411764705882353,0.9411764705882353,1.0
48000,1.4200578,42.26315789473684,0.43297705,0.8888888888888888,0.8888888888888888,1.0
48500,1.4200575,23.958333333333332,0.48086423,0.92,0.92,1.0
49000,1.4200575,24.0,0.45809606,0.9333333333333333,0.9333333333333333,1.0
49500,1.4200575,12.928571428571429,0.44507226,1.0,1.0,1.0
50000,1.4200575,35.75,0.39458096,1.0,1.0,1.0
