Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
2155000,1.6336973,12.26086956521739,0.94679034,0.06355646,0.9695499688386917,0.9695499688386917,0.0,1.0
2156000,1.6336974,17.056603773584907,0.95205563,0.06391177,0.9870030083439567,0.9870030083439567,0.0,1.0
2157000,1.6336974,20.8125,0.9491011,0.06358199,0.9621195572873821,0.9621195572873821,0.0,1.0
2158000,1.6336973,16.64814814814815,0.95793426,0.06568993,0.9764702181730952,0.9764702181730952,0.0,1.0
2159000,1.6336974,21.886363636363637,0.9470121,0.064666755,0.9960492144931447,0.9960492144931447,0.0,1.0
2160000,1.6336973,20.306122448979593,0.946547,0.0656228,0.9694756753742695,0.9694756753742695,0.0,1.0
2161000,1.6336974,20.727272727272727,0.95006406,0.06587142,0.9900814663204882,0.9900814663204882,0.0,1.0
2162000,1.6336973,19.0,0.95094043,0.064978026,0.966977095487071,0.966977095487071,0.0,1.0
2163000,1.6336973,22.121951219512194,0.95349395,0.06548807,0.9422341060070765,0.9422341060070765,0.0,1.0
2164000,1.6336973,18.615384615384617,0.9525938,0.067292295,0.9914313548920202,0.9914313548920202,0.0,1.0
2165000,1.6336974,19.428571428571427,0.95039463,0.06461925,0.9905135929584503,0.9905135929584503,0.0,1.0
2166000,1.6336974,17.849056603773583,0.95496124,0.06632954,0.9543930685745096,0.9543930685745096,0.0,1.0
2167000,1.6336973,20.0,0.9466751,0.0643171,0.9759721960872412,0.9759721960872412,0.0,1.0
2168000,1.6336973,18.54901960784314,0.9489165,0.06528758,0.9910620690560809,0.9910620690560809,0.0,1.0
2169000,1.6336974,22.428571428571427,0.94988775,0.06418818,0.9681046106094537,0.9681046106094537,0.0,1.0
2170000,1.6336974,20.1875,0.9496187,0.06423919,0.9835354292646368,0.9835354292646368,0.0,1.0
2171000,1.6336973,21.217391304347824,0.9493873,0.065560654,0.9904645237516849,0.9904645237516849,0.0,1.0
2172000,1.6336974,20.88888888888889,0.9494474,0.06497816,0.9592689357020638,0.9592689357020638,0.0,1.0
2173000,1.6336973,20.574468085106382,0.9505009,0.06532522,0.9770815372467041,0.9770815372467041,0.0,1.0
2174000,1.6336974,20.652173913043477,0.9501686,0.06476887,0.9902259051799774,0.9902259051799774,0.0,1.0
