Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
5000,1.4189384,0.0,71.7536231884058,-0.091889635,-0.11002395,-1.1420029296594507,-1.1420029296594507,0.0,1.0
10000,1.4189386,0.0,63.30769230769231,-0.09535609,-0.110273644,-1.114830235640208,-1.114830235640208,0.0,1.0
15000,1.4189385,0.0,66.33783783783784,-0.093210004,-0.11199571,-1.1192821393141876,-1.1192821393141876,0.0,1.0
20000,1.4189385,0.0,61.5125,-0.09465726,-0.11115967,-1.1184674829244614,-1.1184674829244614,0.0,1.0
25000,1.4212998,0.0,64.72727272727273,-0.2687183,-0.09454692,-1.1223805138939305,-1.1223805138939305,0.07029572864504237,1.0
30000,1.4229012,0.0,61.620253164556964,-0.300157,-0.089463055,-1.1115474864840507,-1.1115474864840507,0.08426652832422406,1.0
35000,1.4229013,0.0,63.175,-0.29679215,-0.09014653,-1.1155675785450996,-1.1155675785450996,0.08604849030888534,1.0
40000,1.4229012,0.0,68.63380281690141,-0.291291,-0.08939682,-1.1281430838813244,-1.1281430838813244,0.0866636898840817,1.0
45000,1.4246047,0.0,65.50666666666666,-0.3880918,-0.07208106,-1.1204005071991368,-1.1204005071991368,0.06599422571200289,1.0
50000,1.4261168,0.0,68.1830985915493,-0.4050342,-0.06828126,-1.118259695214285,-1.118259695214285,0.059846512710964174,1.0
55000,1.4261168,0.0,66.82432432432432,-0.41097745,-0.06811664,-1.121602150234016,-1.121602150234016,0.06196915433817619,1.0
60000,1.4261168,0.0,68.23287671232876,-0.40984553,-0.06686541,-1.1154953257678306,-1.1154953257678306,0.060476077455797625,1.0
65000,1.4282275,0.0,63.78947368421053,-0.49828193,-0.054567862,-1.0987199795873541,-1.0987199795873541,0.047932813814105954,1.0
70000,1.4302032,0.0,71.22535211267606,-0.5240793,-0.048166785,-1.1305119838033404,-1.1305119838033404,0.04582907888772232,1.0
75000,1.4302032,0.0,66.27631578947368,-0.535819,-0.047270052,-1.1179893223444621,-1.1179893223444621,0.04551909963289897,1.0
80000,1.4302033,0.0,67.56338028169014,-0.53024715,-0.04831097,-1.1192683147059546,-1.1192683147059546,0.04561013089389437,1.0
85000,1.4308715,0.0,66.94444444444444,-0.5750883,-0.040679477,-1.125884915051395,-1.125884915051395,0.038936233989996454,1.0
90000,1.4323882,0.0,68.61111111111111,-0.60667783,-0.032658022,-1.1253116528193157,-1.1253116528193157,0.03661820931463606,1.0
95000,1.4323883,0.0,64.8157894736842,-0.6207275,-0.032042917,-1.1015873472941549,-1.1015873472941549,0.03687358340462915,1.0
100000,1.4323882,0.0,67.83783783783784,-0.6110938,-0.032638185,-1.1054898435122347,-1.1054898435122347,0.035421638494382984,1.0
105000,1.4327432,0.0,67.46052631578948,-0.6342668,-0.026984707,-1.1138691773285736,-1.1138691773285736,0.03260969972187603,1.0
110000,1.4343605,0.0,66.31428571428572,-0.66220134,-0.019236308,-1.1159780613363606,-1.1159780613363606,0.03040432846428801,1.0
115000,1.4343604,0.0,70.28571428571429,-0.6606756,-0.019220041,-1.113185124737876,-1.113185124737876,0.032165174399103436,1.0
120000,1.4343604,0.0,68.30666666666667,-0.65713584,-0.01993834,-1.1092180666858202,-1.1092180666858202,0.02884225148631081,1.0
125000,1.4345889,0.0,68.06944444444444,-0.6722586,-0.016487435,-1.1013654552093923,-1.1013654552093923,0.028020081965074148,1.0
130000,1.4366146,0.0,68.63888888888889,-0.6965569,-0.012276347,-1.1143075865758976,-1.1143075865758976,0.026406589062543402,1.0
135000,1.4366146,0.0,74.78125,-0.68367153,-0.012071998,-1.122680588202043,-1.122680588202043,0.027057536313253822,1.0
140000,1.4366146,0.0,67.02666666666667,-0.693835,-0.012215912,-1.103661349374954,-1.103661349374954,0.02613390194354196,1.0
145000,1.4367334,0.0,71.96052631578948,-0.6955767,-0.01070782,-1.0999338886012202,-1.0999338886012202,0.02673182210655532,1.0
150000,1.4387971,0.0,68.796875,-0.7095687,-0.0058541647,-1.1023438705338373,-1.1023438705338373,0.023273735902168684,1.0
155000,1.4387971,0.0,72.2089552238806,-0.701309,-0.005522636,-1.1136376314303453,-1.1136376314303453,0.02349516672684866,1.0
160000,1.438797,0.0,67.65789473684211,-0.70467055,-0.0063413987,-1.1003670986384562,-1.1003670986384562,0.021648517152779316,1.0
165000,1.4388433,0.0,68.4320987654321,-0.70833516,-0.005676165,-1.098434831414904,-1.098434831414904,0.022826716087625494,1.0
170000,1.4412776,0.0,67.5,-0.7005717,-0.003954663,-1.0939077138900757,-1.0939077138900757,0.016962183825671672,1.0
175000,1.4412776,0.0,75.54166666666667,-0.7040904,-0.0034500519,-1.103650279117353,-1.103650279117353,0.020480430850787372,1.0
180000,1.4412776,0.0,69.140625,-0.70060694,-0.0036742762,-1.1007425819618115,-1.1007425819618115,0.01877216351609947,1.0
185000,1.4412777,0.0,73.44776119402985,-0.6957993,-0.0034759382,-1.0983408742876195,-1.0983408742876195,0.01914486927744835,1.0
190000,1.4433547,0.0,72.56060606060606,-0.709147,0.0028236352,-1.088127027539646,-1.088127027539646,0.019397109062136972,1.0
195000,1.4440373,0.0,74.56716417910448,-0.70633394,0.0027591607,-1.0880393821801713,-1.0880393821801713,0.01937254951961005,1.0
200000,1.4440374,0.0,75.01538461538462,-0.7038311,0.002201927,-1.1000239720711342,-1.1000239720711342,0.018809940572828053,1.0
205000,1.4440373,0.0,67.84,-0.71138066,0.0024020253,-1.0898832637969762,-1.0898832637969762,0.017853193616571082,1.0
210000,1.4457186,0.0,76.98412698412699,-0.70697784,0.00494121,-1.100341223180294,-1.100341223180294,0.017978824973397423,1.0
215000,1.4469976,0.0,79.71428571428571,-0.69860315,0.0058639254,-1.0995695061153836,-1.0995695061153836,0.017412601800132838,1.0
220000,1.4469978,0.0,81.24590163934427,-0.7086745,0.005713667,-1.1027647155826374,-1.1027647155826374,0.01964985959279209,1.0
225000,1.4469976,0.0,74.9090909090909,-0.7082912,0.006091626,-1.0868931172499017,-1.0868931172499017,0.01726106766249929,1.0
230000,1.4482292,0.0,71.87878787878788,-0.70753706,0.008563571,-1.0840605620075674,-1.0840605620075674,0.016225462286349607,1.0
235000,1.4502335,0.0,67.67123287671232,-0.7044574,0.009269059,-1.0763150437237465,-1.0763150437237465,0.013922143009912274,1.0
240000,1.4502333,0.0,75.04615384615384,-0.703028,0.009801159,-1.0797678539247224,-1.0797678539247224,0.01633510029888853,1.0
245000,1.4502335,0.0,76.45588235294117,-0.6967618,0.009302342,-1.0797763394586968,-1.0797763394586968,0.015572485274099039,1.0
250000,1.4508196,0.0,72.91176470588235,-0.7038502,0.0108714085,-1.0844293867840487,-1.0844293867840487,0.014361401855507317,1.0
255000,1.4518727,0.0,73.94029850746269,-0.70245516,0.011620731,-1.0846159696578979,-1.0846159696578979,0.0139351802949722,1.0
